image,slice,bjd_tdb,hours_since_first_image,raw_relative_brightness_10_comparisons,raw_relative_brightness_error,working_relative_brightness_7_comparisons,adopted_relative_brightness,condition_model_baseline,review_point,review_reason,condition_model_fit_eligible,used_in_primary_curve,primary_exclusion_reason,airmass,sky_counts_per_pixel,target_width_pixels,target_x_fits,target_y_fits,comparison_counts,meridian_side
TOI_3505.01_50.000s_R-0054_aligned.fits,54,2459782.6383427386,0.9625902660,0.9992929667,0.0015715708,0.9980498126,0.9992444588,1.0000485446,False,,True,True,,1.1615814352,451.0453588476,19.0230427348,1847.4224803626,1743.4881336356,8405078.2475088276,0.0000000000
TOI_3505.01_50.000s_R-0055_aligned.fits,55,2459782.6390960058,0.9806686789,0.9984049877,0.0016354866,0.9983158287,0.9983565229,1.0000485446,False,,True,True,,1.1594808909,463.8057636446,19.5195368761,1847.9765478206,1743.3033790925,8048080.9866950884,0.0000000000
TOI_3505.01_50.000s_R-0056_aligned.fits,56,2459782.6398489238,0.9987387098,1.0033688998,0.0016283420,1.0017283686,1.0033201940,1.0000485446,False,,True,True,,1.1574088202,461.2377465560,19.4800713110,1847.8398673284,1745.0127268152,8095455.1390133407,0.0000000000
TOI_3505.01_50.000s_R-0057_aligned.fits,57,2459782.6406018622,1.0168092325,0.9935448162,0.0015541576,0.9924265348,0.9934965873,1.0000485446,False,,True,True,,1.1553639852,439.7978760661,19.7271561915,1848.9356433687,1744.1510563595,8437249.5815615878,0.0000000000
TOI_3505.01_50.000s_R-0058_aligned.fits,58,2459782.6413543285,1.0348684229,1.0036927395,0.0015210546,1.0019831314,1.0036440180,1.0000485446,False,,True,True,,1.1533474917,415.7148017356,19.5243010081,1846.9219866394,1743.2456663304,8564604.7347891908,0.0000000000
TOI_3505.01_50.000s_R-0059_aligned.fits,59,2459782.6421075361,1.0529454052,0.9984529716,0.0015830769,0.9980143482,0.9984045045,1.0000485446,False,,True,True,,1.1513559029,430.2996811927,19.3090125546,1847.7654628825,1742.4750277166,8190174.4762110747,0.0000000000
TOI_3505.01_50.000s_R-0060_aligned.fits,60,2459782.6428602245,1.0710099265,1.0005093069,0.0015532466,0.9991439021,1.0004607399,1.0000485446,False,,True,True,,1.1493923669,421.3214725784,19.8292112511,1847.9389339434,1743.7817139185,8350897.1421583723,0.0000000000
TOI_3505.01_50.000s_R-0061_aligned.fits,61,2459782.6436133380,1.0890846513,1.0014780545,0.0015411868,1.0001482041,1.0014294405,1.0000485446,False,,True,True,,1.1474542222,417.2554526173,19.9350806077,1849.4655765043,1743.5252118424,8415428.8299700897,0.0000000000
TOI_3505.01_50.000s_R-0062_aligned.fits,62,2459782.6443660157,1.1071489155,0.9951798745,0.0015478717,0.9957809254,0.9951315662,1.0000485446,False,,True,True,,1.1455434916,420.4625014312,19.2643905439,1851.4292451806,1747.7142706127,8363239.1005256958,0.0000000000
TOI_3505.01_50.000s_R-0063_aligned.fits,63,2459782.6451192242,1.1252259202,0.9983643276,0.0015590503,0.9973670307,0.9983158648,1.0000485446,False,,True,True,,1.1436575397,417.0214160743,20.8114130346,1848.7645826233,1743.7232495040,8272791.0832643891,0.0000000000
