slice,bjd_tdb,flux_sum_ensemble,equal_star_ensemble,inverse_error_ensemble
131,2459782.6963179847,1.0008644469,1.0009066484,1.0008823869
132,2459782.6970712738,0.9949306774,0.9950597991,0.9949432263
133,2459782.6978248958,1.0025837383,1.0027190049,1.0025356297
134,2459782.6985779367,0.9944484120,0.9944905688,0.9944945888
135,2459782.6993383258,0.9983258875,0.9982835518,0.9984370097
136,2459782.7000936135,0.9945560285,0.9939087817,0.9951712519
137,2459782.7008470711,0.9951579286,0.9959803902,0.9945442523
138,2459782.7016101852,0.9926802892,0.9912660274,0.9940666232
139,2459782.7023696420,0.9885403525,0.9884658796,0.9887168703
140,2459782.7031324874,1.0019769982,1.0011594365,1.0027954964
141,2459782.7038899334,1.0036877843,1.0039101584,1.0036068532
142,2459782.7046428472,1.0000549152,1.0000097110,1.0001840799
143,2459782.7054009773,1.0001899931,0.9994514891,1.0008360541
144,2459782.7061556340,1.0007353419,1.0004169663,1.0010943012
145,2459782.7069090409,0.9959493253,0.9957099639,0.9962076096
146,2459782.7076630625,1.0079533281,1.0079344393,1.0080506200
147,2459782.7084165383,1.0034737183,1.0037466431,1.0033777819
148,2459782.7091704095,1.0016164306,1.0017909811,1.0015986293
149,2459782.7099231686,1.0032886921,1.0039502826,1.0029280601
150,2459782.7106763357,0.9976448100,0.9978923071,0.9975774612
151,2459782.7114293799,1.0002846102,1.0006014491,1.0001626090
152,2459782.7121820669,0.9984849038,0.9988514812,0.9983648497
153,2459782.7129347818,0.9996100106,0.9993078417,0.9998899199
154,2459782.7136881002,1.0016680026,1.0017258131,1.0016838259
155,2459782.7144411867,1.0011333500,1.0010671431,1.0012523576
156,2459782.7151942407,0.9997339654,0.9998929872,0.9997087225
157,2459782.7159470404,0.9999537491,1.0002544587,0.9998731975
158,2459782.7166993860,1.0011993345,1.0011763259,1.0012780298
159,2459782.7174525233,1.0006629975,1.0006175645,1.0007692939
160,2459782.7182062040,1.0002462909,1.0002525470,1.0002954849
161,2459782.7189587019,0.9999045143,0.9998819000,1.0000000000
162,2459782.7197117265,1.0011180144,1.0011890978,1.0011420957
163,2459782.7204649015,1.0003376701,1.0005982380,1.0002566129
164,2459782.7212174460,1.0032145308,1.0033001081,1.0032103442
165,2459782.7219702462,0.9998247559,0.9998932384,0.9998639646
166,2459782.7227233690,1.0024977991,1.0028182320,1.0023955778
167,2459782.7234762423,1.0000177775,1.0000605858,1.0000183641
168,2459782.7242292752,1.0001428310,1.0003199960,1.0000954451
169,2459782.7249825085,0.9991661093,0.9991631472,0.9992029117
170,2459782.7257356197,1.0004730374,1.0007680796,1.0003940788
171,2459782.7264877493,1.0005941328,1.0008776952,1.0004812057
172,2459782.7272400553,1.0018989863,1.0020047228,1.0018863542
173,2459782.7279928620,0.9994001455,0.9997187208,0.9992719372
