image,slice,bjd_tdb,hours_since_first_image,relative_brightness_all_comparisons,relative_brightness_working_set,relative_brightness_error,sky_counts_per_pixel,star_width_pixels,airmass,working_comparison_counts,target_x_fits,target_y_fits,review_point,review_reason
TOI_3505.01_50.000s_R-0122_aligned.fits,122,2459782.6895380071,2.1912767105,1.0023764659,1.0020204960,0.0018722458,380.8879500499,19.1676319095,1.0734672567,5878183.7210386684,1846.4921305482,1745.1737949946,False,
TOI_3505.01_50.000s_R-0123_aligned.fits,123,2459782.6902910583,2.2093499377,1.0017129734,1.0015251356,0.0018709581,380.0582466536,19.2700654824,1.0729075318,5877791.2946209321,1852.4216180901,1743.1029861724,False,
TOI_3505.01_50.000s_R-0124_aligned.fits,124,2459782.6910441252,2.2274235450,0.9979272323,0.9981059976,0.0018578724,378.1195511344,19.3137772917,1.0723672893,5905965.4083417524,1846.8423377662,1743.6412521943,False,
TOI_3505.01_50.000s_R-0125_aligned.fits,125,2459782.6917973706,2.2455014326,0.9974205690,0.9962180914,0.0018598110,378.5271168416,19.7754630127,1.0718463751,5897186.4774149666,1848.7684722965,1744.0702083115,False,
TOI_3505.01_50.000s_R-0126_aligned.fits,126,2459782.6925499006,2.2635621540,0.9976081825,0.9966088073,0.0018508751,378.0025913738,20.0251529111,1.0713453419,5930339.0485287933,1846.9650740813,1744.1266838771,False,
TOI_3505.01_50.000s_R-0127_aligned.fits,127,2459782.6933032637,2.2816428691,1.0051579267,1.0044893442,0.0018590644,378.5909992096,20.6550142336,1.0708631207,5919214.9554837048,1847.2788256996,1744.9534223831,False,
TOI_3505.01_50.000s_R-0128_aligned.fits,128,2459782.6940560760,2.2997103631,1.0005981354,1.0000000000,0.0018079932,372.5088852816,20.3686984376,1.0704005680,6078280.7809583684,1847.5920861753,1743.1539303666,False,
TOI_3505.01_50.000s_R-0129_aligned.fits,129,2459782.6948093004,2.3177877478,1.0260067890,1.0032717978,0.0069518473,697.0285642669,20.7033473402,1.0699570471,1789116.2798888911,1850.4395825137,1741.1210921023,True,low comparison-star counts
TOI_3505.01_50.000s_R-0130_aligned.fits,130,2459782.6955639157,2.3358985148,1.0297459805,1.0079508328,0.0132474232,896.0598357757,21.5513355727,1.0695320138,1038638.9218383646,1853.7290939477,1744.6727288020,True,low comparison-star counts
TOI_3505.01_50.000s_R-0131_aligned.fits,131,2459782.6963179847,2.3539961725,1.0029098996,1.0016911800,0.0025126762,484.9823032917,19.8552695074,1.0691265556,4579794.7657391028,1848.3098276352,1743.4595491561,False,
TOI_3505.01_50.000s_R-0132_aligned.fits,132,2459782.6970712738,2.3720751107,0.9950174302,0.9974253574,0.0026909095,482.7468321594,21.1974534612,1.0687407129,4222869.6711313007,1860.7528986477,1745.0549207587,False,
TOI_3505.01_50.000s_R-0133_aligned.fits,133,2459782.6978248958,2.3901620395,1.0035858437,1.0081233840,0.0031288183,523.1253431748,20.9226870801,1.0683738664,3701565.6155690514,1847.8310446051,1743.3407531991,False,
TOI_3505.01_50.000s_R-0134_aligned.fits,134,2459782.6985779367,2.4082350209,0.9946172008,0.9997972289,0.0038289951,578.7494930841,20.8425879456,1.0680264203,3092821.5630619102,1855.5232331098,1742.7804362163,False,
TOI_3505.01_50.000s_R-0135_aligned.fits,135,2459782.6993383258,2.4264843576,1.0032865208,1.0041240764,0.0034411022,554.3309540987,20.8580255072,1.0676949452,3412514.1073688800,1850.9163657885,1744.0422510174,False,
TOI_3505.01_50.000s_R-0136_aligned.fits,136,2459782.7000936135,2.4446112625,0.9983378298,1.0003037842,0.0030127000,521.7738840638,20.2170398673,1.0673849258,3847545.4791907240,1850.8511331146,1743.8573069386,False,
TOI_3505.01_50.000s_R-0137_aligned.fits,137,2459782.7008470711,2.4626942463,0.9970694599,1.0052861308,0.0042262147,596.3967852040,20.9012513838,1.0670947292,2821870.6605730024,1849.5939944794,1742.0650479649,False,
TOI_3505.01_50.000s_R-0138_aligned.fits,138,2459782.7016101852,2.4810089841,0.9967753666,0.9992808449,0.0048782214,634.6750032077,19.8189555813,1.0668202044,2484657.1272112615,1850.2291515354,1744.8802041047,True,low comparison-star counts
TOI_3505.01_50.000s_R-0139_aligned.fits,139,2459782.7023696420,2.4992359467,0.9889302171,0.9871060741,0.0044176361,609.9811111761,20.2170879129,1.0665663466,2705219.2248803726,1850.9563878030,1744.9513985534,False,
TOI_3505.01_50.000s_R-0140_aligned.fits,140,2459782.7031324874,2.5175442360,1.0036543505,1.0051354665,0.0036551389,566.2755315074,20.8512804387,1.0663307684,3224087.0771708223,1850.0577476591,1744.2764290075,False,
TOI_3505.01_50.000s_R-0141_aligned.fits,141,2459782.7038899334,2.5357229412,1.0059343452,1.0032932320,0.0030031960,518.5611380990,20.1355489287,1.0661160869,3855019.6843755483,1852.8549030956,1744.0776520137,False,
TOI_3505.01_50.000s_R-0142_aligned.fits,142,2459782.7046428472,2.5537928715,0.9966603048,0.9967023551,0.0036582578,569.4097722890,20.1610451810,1.0659216614,3223930.0585032715,1851.8129826676,1743.0263458560,False,
TOI_3505.01_50.000s_R-0143_aligned.fits,143,2459782.7054009773,2.5719879940,0.9964394399,0.9954352527,0.0032547714,546.4392038000,20.2943777980,1.0657449841,3597342.8086659289,1849.5460192037,1743.5973375632,False,
TOI_3505.01_50.000s_R-0144_aligned.fits,144,2459782.7061556340,2.5900997557,1.0032882344,1.0118488721,0.0030397943,518.9625282969,20.8782050039,1.0655881309,3813399.2379485397,1848.0559658074,1742.8556964619,False,
TOI_3505.01_50.000s_R-0145_aligned.fits,145,2459782.7069090409,2.6081815213,0.9951131855,0.9942899987,0.0032247025,535.8498385841,19.8971709291,1.0654504482,3602121.0752835763,1850.3400618377,1742.7170832324,False,
TOI_3505.01_50.000s_R-0146_aligned.fits,146,2459782.7076630625,2.6262780391,1.0104713671,1.0050340845,0.0027822844,502.1604250845,20.3331899273,1.0653315598,4143570.8762724660,1850.2216852443,1743.1628366077,False,
TOI_3505.01_50.000s_R-0147_aligned.fits,147,2459782.7084165383,2.6443614587,1.0051240465,1.0045613608,0.0028041162,499.9198393955,20.3247966337,1.0652316414,4098926.5388543950,1851.4291162086,1743.0745331324,False,
TOI_3505.01_50.000s_R-0148_aligned.fits,148,2459782.7091704095,2.6624543667,1.0024112544,1.0010964410,0.0025672566,478.9085070515,20.1554967031,1.0651505541,4441945.1125392420,1855.8486355900,1742.7043583845,False,
TOI_3505.01_50.000s_R-0149_aligned.fits,149,2459782.7099231686,2.6805205867,1.0028409170,1.0011817722,0.0024996155,471.3255478842,20.5394602552,1.0650884264,4552025.4787387643,1850.8146776004,1742.9714463073,False,
TOI_3505.01_50.000s_R-0150_aligned.fits,150,2459782.7106763357,2.6985965967,0.9958842921,0.9939294050,0.0024781554,468.0804890603,21.1812245374,1.0650451011,4573922.0100456784,1858.9147031004,1742.7946428693,False,
TOI_3505.01_50.000s_R-0151_aligned.fits,151,2459782.7114293799,2.7166696563,1.0020596300,1.0003121028,0.0023449273,451.6413211172,20.7014814441,1.0650206160,4813451.9085252304,1850.3737784234,1743.0575246442,False,
TOI_3505.01_50.000s_R-0152_aligned.fits,152,2459782.7121820669,2.7347341441,0.9987129606,0.9973572437,0.0023404927,449.7988309540,22.5822630191,1.0650149585,4807317.9341488034,1848.3078237937,1742.1654304048,False,
