ID,ra,dec,Tmag,e_Tmag,GAIA,GAIAmag,gaiabp,gaiarp,pmRA,pmDEC,plx,Teff,rad,mass,d,numcont,contratio,disposition,duplicate_id,dstArcSec
1845606228,297.0509399498,18.6743545117757,20.4078,0.6,1824561072962355456,20.8378,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,92.00520088062527
1845610186,297.032245608152,18.7221554768035,18.965,0.014,1824562924084542592,19.6615,19.8253,18.4208,-3.55714,-7.20637,-0.0895274,nan,nan,nan,3444.65,,nan,,,92.01570886894078
1845609499,297.070390347426,18.7008301916228,20.322,0.6,1824562584790261504,20.752,nan,nan,-1.49724,-7.49151,-2.31037,nan,nan,nan,3212.43,,nan,,,92.03572213847987
390988383,297.016480115444,18.6991700856037,15.2858,0.0284,1824561416599126912,16.3055,17.3412,15.2658,-2.86771,-4.88052,0.0987947,4248.0,10.2003,nan,5906.26,,nan,,,92.05994257939521
1845606862,297.017341239188,18.6924945846337,18.6529,0.0074,1824561347879645824,19.3453,19.6202,18.2258,-4.05203,-6.66363,0.108314,nan,nan,nan,3416.21,,nan,,,92.06824315957303
1845610142,297.05769735428,18.7206584707312,18.8626,0.0099,1824562894027074560,19.5451,19.5476,18.1768,-3.73009,-10.3043,0.0925299,nan,nan,nan,3289.46,,nan,,,92.08251337452435
1845610180,297.054219931897,18.7223816445363,17.6654,0.0064,1824562894068147200,18.3474,18.7443,17.3746,-2.16298,-4.50051,0.0963243,nan,nan,nan,4142.59,,nan,,,92.08429894754977
1845606149,297.032015985889,18.6757514092737,20.7089,0.6,1824561038602776960,21.1389,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,92.08932284119544
1845609670,297.067241003951,18.7110831734945,17.8718,0.0116,1824562683589936000,18.5679,19.038,17.6347,-1.71703,-5.58759,1.42892,nan,nan,nan,805.368,,nan,,,92.11917308795564
1845606213,297.048365306234,18.6737360295842,20.2121,0.6,1824561072961819904,20.6421,nan,nan,-3.45556,-4.27256,-0.480128,nan,nan,nan,3227.68,,nan,,,92.16152449671024
1845609496,297.069453509539,18.6918213308036,19.5324,0.0249,1824562584790258560,20.1452,20.3284,19.1197,-2.0552,-5.86946,-0.328429,nan,nan,nan,3393.35,,nan,,,92.1911007944625
1845609495,297.069962005783,18.6936711845442,20.6589,0.0185,1824562584790258176,20.8147,19.8884,19.5781,-2.99956,-3.27019,-0.135993,nan,nan,nan,2982.89,,nan,,,92.26914730356495
1845606811,297.017982762424,18.6903107655441,18.7312,0.0163,1824561347837964416,19.4624,19.9744,18.4852,-2.06275,-3.97892,0.0235635,nan,nan,nan,3525.38,,nan,,,92.28594321196022
1845606327,297.036875307992,18.6740204463293,19.6927,0.6,1824561141679472384,20.1227,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,92.4005631779645
1845610221,297.03005250823,18.7212290428586,18.3466,0.0182,1824562928386940160,19.0165,19.4245,18.0836,-1.79407,-3.27559,0.273156,nan,nan,nan,3033.06,,nan,,,92.45833088505803
1845610156,297.063081532555,18.7166780062944,19.491,0.03,1824562894027936000,19.9695,19.9391,19.021,-2.45203,-5.86138,-0.846907,nan,nan,nan,4079.05,,nan,,,92.51327002747236
1845607012,297.017878127838,18.7074474138147,18.3338,0.007,1824561416599431424,19.0408,19.3692,17.9393,-4.27777,-6.09252,0.16633,nan,nan,nan,3376.03,,nan,,,92.5342233940401
1845609683,297.070484321405,18.7016654107021,19.743,0.0338,1824562687868551936,20.4407,20.8052,19.3979,-6.63347,-5.10833,0.490112,nan,nan,nan,2782.76,,nan,,,92.62817320752244
1845610184,297.028812827054,18.7205866616692,17.3278,0.0436,1824562924081036288,17.9936,18.51,17.2199,-1.1685,-4.85552,0.139924,5472.0,1.3997,0.96,4015.85,,nan,,,92.66691999847754
1845606554,297.020024292165,18.6858879561376,19.1858,0.013,1824561244758736640,19.8925,20.1037,18.6747,-4.81708,-4.98593,0.125684,nan,nan,nan,3143.65,,nan,,,92.7075506674896
1845606242,297.065188426458,18.6834044755099,17.8009,0.6,1824561103014718080,18.2309,nan,nan,-3.06031,-5.17505,0.509562,nan,nan,nan,2014.02,,nan,,390988504,92.73473375807588
1845607082,297.020817151005,18.7131876223321,18.9972,0.0195,1824561450959170432,19.6768,20.1139,18.75,-3.18876,-6.15522,0.280228,nan,nan,nan,2947.71,,nan,,,92.78999932171763
1845606251,297.063589180053,18.6815379836522,18.8002,0.0165,1824561103041918592,19.4622,19.7556,18.4333,-5.76624,-3.27387,-1.41221,nan,nan,nan,4695.85,,nan,,,92.83004015841597
1845609690,297.069521756321,18.7064232419358,19.6074,0.6,1824562687868565760,20.0374,nan,nan,-1.28815,-5.60857,0.252237,nan,nan,nan,2968.1,,nan,,,92.83661484756747
1845606322,297.035659598505,18.6742099329896,18.967,0.0226,1824561137406826112,19.6489,19.9841,18.6147,-3.75528,-5.99422,-0.165118,nan,nan,nan,3663.81,,nan,,,92.84340136360616
1845610321,297.048682869388,18.7242544087743,20.7227,0.0151,1824562962748015744,20.9122,20.2311,19.8623,-2.37347,-6.56463,-1.6203,nan,nan,nan,3099.89,,nan,,,92.93702519796496
1845610141,297.057660780239,18.7209739960515,20.3706,0.6,1824562894027074432,20.8006,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,92.9851140849082
390988579,297.05233276067,18.6744819843824,18.1876,0.0139,1824561073001702656,19.1032,19.777,17.7918,0.789232,-14.6612,nan,nan,nan,nan,nan,,nan,SPLIT,,92.99667328048511
1845607027,297.0236538217,18.7166895239463,18.2496,0.047,1824561446638756352,18.9711,19.4933,18.0855,-4.22889,-6.86034,-0.0270437,5155.0,0.990825,0.87,3881.68,,nan,,,93.07697643585934
1845606816,297.017289839031,18.6915962406702,19.2543,0.6,1824561347837967872,19.6843,nan,nan,-3.89253,-4.11923,0.955187,nan,nan,nan,1521.38,,nan,,,93.10108251832175
390988323,297.069717304783,18.7061322998962,16.9952,0.0061,1824562687909688960,17.5899,17.9484,16.7803,-6.20802,-6.78938,nan,nan,nan,nan,nan,,nan,,,93.17728037238773
