measured_star,separation_from_measured_position_arcsec,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star
C4,4.4892013914,1821553805603472768,297.1687677863,18.5391092392,17.9711189270,18.1496467590,16.5273246765,1.6223220825,0.9584189057,0.3970937735,0.1357090920,-4.9068462994,-5.1799367316,NOT_AVAILABLE,0
C4,5.2782906609,1821553805603471744,297.1698638004,18.5402175766,18.0616989136,18.4781188965,17.1983489990,1.2797698975,1.0242823362,-0.0831493562,0.1409719586,-2.2363881976,-5.2098769780,NOT_AVAILABLE,0
C4,5.4969927163,1821553805604732672,297.1667127462,18.5401677461,19.8648529053,19.7257366180,17.6648635864,2.0608730316,1.1208841801,1.1666822428,0.6214758754,-1.9542828122,-5.9694982775,NOT_AVAILABLE,0
C4,7.4334160885,1821553805603471616,297.1704215662,18.5408189578,19.6887168884,20.1376438141,18.5719108582,1.5657329559,1.0154359341,0.2631531380,0.4449514449,-3.5687136158,-5.0232546826,NOT_AVAILABLE,0
C4,7.4562131432,1821553805604482560,297.1695230527,18.5420093946,19.9655227661,20.5987186432,18.7301445007,1.8685741425,1.0095690489,-2.0156964267,0.5970491171,-8.0572999624,-4.0624019209,NOT_AVAILABLE,0
C4,9.2903751033,1821553805619461120,297.1659046242,18.5390893869,18.3529186249,18.9114322662,17.4365940094,1.4748382568,1.1921414137,0.4103157804,0.1899050474,-0.1734146744,-6.1460419354,NOT_AVAILABLE,0
C4,9.8609776300,1821553801290654720,297.1666035695,18.5424855226,18.8786163330,19.3516445160,17.8571147919,1.4945297241,0.9695961475,0.2869250444,0.2191074342,-2.8956550697,-4.7743020406,NOT_AVAILABLE,0
C4,9.9851104479,1821553805604733184,297.1654668443,18.5396635085,20.3410205841,21.8180446625,19.2183971405,2.5996475220,0.9841701388,2.1997465898,0.8301705122,1.3502113730,-4.0181672275,NOT_AVAILABLE,0
C4,10.2876872322,1821553805604483200,297.1703074993,18.5424287587,20.4680595398,,,,1.1874681711,5.0656292459,1.3338007927,-4.4582706304,-10.2642452332,NOT_AVAILABLE,0
C4,10.4348783787,1821553805604733440,297.1656013740,18.5416094731,19.8065872192,20.2233524323,19.0003929138,1.2229595184,0.9922331572,1.0128537869,0.4315853417,-3.4887199495,-3.8275447627,NOT_AVAILABLE,0
